Palabra;Lexema;Tristeza;Miedo;Alegria;Ira;Asco
cascada;;1,07;1,53;3,27;1,03;1,03
casco;;1,17;1,8;1,8;1,27;1,07
caseta;;1,17;1,23;1,9;1;1,03
casino;;1,63;1,87;2,63;1,67;1,3
casita;;1,1;1,17;2,9;1,1;1,1
castidad;;2,63;2,23;1,27;1,87;1,93
castigar;;3,27;3,33;1,07;3,47;2,3
castigo;;3,83;3,83;1,03;3,87;2,47
castillo;;1,2;1,57;2,47;1,27;1
casualidad;;1,4;2,03;3,5;1,27;1,23
catálogo;;1,17;1,07;2,03;1,13;1,1
catástrofe;;4,73;4,6;1;3,07;1,9
cateto;;1,7;1,13;1,27;1,63;1,37
caudal;;1,52;1,7;1,89;1,15;1,19
cauto;;1,28;1,86;1,72;1,1;1,07
cazador;;2,83;2,57;1,23;3,2;2,53
cazadora;;1,93;1,8;1,87;2,23;2,1
cazar;;3,5;2,47;1,23;2,9;3,1
cálculo;;1,6;1,97;1,47;1,8;1,7
cáncer;;4,63;4,8;1,03;3,67;2,3
cárcel;;3,47;3,47;1,13;2,6;2,1
cebolla;;1,33;1,07;1,63;1,27;1,73
cebra;;1,13;1,47;2,97;1,03;1,1
cefalea;;2,74;2,41;1,04;2,52;1,85
ceguera;;4,13;4,17;1;2,53;1,38
celador;;2;2,1;1,25;1,6;1,6
celadora;;2,05;1,95;1,4;1,6;1,55
celda;;3,84;4;1,23;3,32;3,19
celebración;;1,33;1,43;4,73;1,17;1,13
celebrar;;1,4;1,4;4,47;1,1;1,1
celo;;1,87;1,8;1,4;1,9;1,9
celos;;3,13;3,2;1,27;3,3;2,07
celulitis;;2,2;1,97;1,03;1,97;3,1
cementerio;;4,23;3,07;1,13;1,63;1,33
cemento;;1,5;1,3;1,2;1,47;1,43
cena;;1,3;1,33;3,43;1,17;1,17
cenicero;;1,87;1,57;1,3;1,6;3,3
ceniza;;2,57;1,8;1,27;1,73;2,1
centímetro;;1;1;1;1;1
centuria;;1,28;1,44;1,39;1,44;1,11
cepillo;;1,1;1,07;1,33;1,03;1,73
cerdo;;1,37;1,37;1,57;1,1;2,47
cerilla;;1,13;2;1,47;1,2;1,07
certeza;;1,47;1,8;3,1;1,33;1,17
cerveza;;1,27;1,3;3,33;1,37;1,9
cesta;;1,1;1,1;2;1,07;1,07
célula;;1,07;1,1;1,5;1,07;1,1
césped;;1,2;1,03;3,2;1,03;1,3
chacal;;1,26;2,43;1,65;1,39;1,35
chaleco;;1,07;1,27;1,5;1,07;1,03
chalet;;1,37;1,67;3,57;1,3;1,43
champán;;1,13;1,27;3,23;1,2;1,83
champiñón;;1,1;1,13;1,9;1,07;1,53
chantaje;;2,79;2,79;1,07;3,93;3
chantajista;;2,73;3,33;1,3;4;3,4
chaqueta;;1,1;1,03;1,9;1;1,03
chaquetero;;2,23;1,6;1,2;2,87;2,6
charca;;1,48;1,69;2,41;1,17;2,03
charlar;;1,13;1,3;3,73;1,13;1
chándal;;1,23;1,07;2,37;1,2;1,4
cheque;;1,17;1,03;3,33;1,1;1,2
chica;;1,34;1,34;2,97;1,28;1,24
chico;;1,17;1,2;2,8;1,27;1,13
chiflado;;1,97;2,47;1,5;1,33;1,2
chillido;;1,93;3,33;1,87;2,8;1,67
chimenea;;1,67;1,87;3,03;1,17;1,3
chimpancé;;1,63;2,1;3,27;1,1;1,43
china;;1,47;1,5;2,07;1,43;1,2
chinche;;1,17;2,24;1,07;1,62;3,41
chincheta;;1,23;1,97;1,2;1,6;1,27
chiste;;1,2;1,2;4,07;1,1;1,2
chistoso;;1,23;1,07;4,03;1,23;1,23
chivato;;2;1,9;1,27;3,3;2,8
chocolate;;1,47;1,37;4,17;1,3;1,23
choque;;3,13;3,6;1,17;2,53;1,73
chorizo;;1,1;1,1;2,3;1,17;1,67
chófer;;1,23;1,2;2,27;1,2;1,07
chuchería;;1,03;1;3,8;1,03;1,1
chulo;;1,76;1,52;2,17;2,62;2,62
cicatriz;;2,5;2,18;1,25;2,21;2,5
ciclo;;1,57;1,3;2;1,2;1,1
ciclón;;2,73;3,93;1,07;1,83;1,37
ciego;;3,63;2,07;1,1;1,6;1,1
cielo;;1,93;1,97;4,07;1,03;1
ciempiés;;1,07;1,8;1,47;1,27;3,23
cieno;;1,57;2,21;1,36;1,57;3,71
científica;;1,2;1,83;2,53;1,3;1,33
científico;;1,37;1,27;3,4;1,37;1,2
ciervo;;1,2;1,83;2,67;1,1;1,17
cifrado;;1,37;1,67;1,37;1,56;1,19
cigarrillo;;2,83;2,77;1,83;2,6;3,53
cigÃ¼eña;;1,17;1,47;2,83;1,1;1,33
cine;;2,2;2,17;4,53;1,87;1,47
cinturón;;1,4;1,9;1,8;2,07;1,53
circo;;1,93;1,4;3,2;1,23;1,6
circulación;;1,2;1,47;1,47;1,33;1,47
cirugía;;2,07;3,93;1,43;1,27;2,2
cirujano;;1,77;3,03;2,1;1,33;1,9
cisne;;1,23;1,37;3,03;1,1;1,03
cita;;1,37;2,3;3,3;1,4;1,23
ciudad;;1,63;1,7;2,5;1,57;1,43
civilización;;1,53;1,6;2,77;1,6;1,63
círculo;;1,3;1,3;1,63;1,3;1,27
claridad;;1,17;1,13;3,67;1,1;1,1
clase;;1,2;1,43;2,7;1,13;1,13
clavel;;1,33;1,07;3,37;1,1;1,07
cliente;;1,07;1,37;3,33;1,33;1,13
clima;;2;1,93;2,53;1,7;1,63
coaccionar;;2,89;3,61;1,07;3,7;3,14
coacción;;3,33;3,47;1,2;3,8;3,07
cobarde;;2,73;2;1,1;2,4;1,93
cobrar;;1,28;1,24;4,07;1,21;1,17
cocaína;;3;3,5;1,03;2,7;3,7
cocer;;1,31;1,34;1,38;1,21;1,41
coche;;1,23;1,83;2,87;1,4;1,17
cochinilla;;1,21;1,18;1,61;1,07;2,21
cocina;;1,03;1,23;2,3;1,07;1,17
cocinero;;1,17;1,13;2,67;1,1;1,13
coco;;1,2;1,23;3,03;1,23;1,7
cocodrilo;;1,13;3,8;1,33;1,4;1,8
codicia;;2,8;1,93;1,07;3,2;2,93
codicioso;;2,6;1,97;1,3;2,77;2,57
codo;;1,3;1,3;1,33;1,37;1,27
coito;;1,17;1,37;3,73;1,27;1,2
cojo;;2,7;1,47;1,13;1,33;1,2
cola;;1,43;1,13;1,5;1,63;1,23
colaboración;;1,07;1,3;3,47;1,1;1,13
colapso;;2,27;2,77;1,13;2,63;1,5
colibrí;;1,1;1,2;2,83;1,13;1,33
collar;;1,17;1,07;2,93;1;1,03
colonia;;1,43;1,2;3,37;1,23;1,7
color;;1,63;1,27;3,63;1,27;1,3
colorado;;1,23;1,33;2,4;2,2;1,13
columna;;1,1;1,37;1,17;1,2;1,07
columpio;;1,13;1,43;3,87;1,07;1,07
coma;;2,13;2;1,17;1,5;1,07
comadreja;;1,27;1,87;1,93;1,2;1,77
comadrona;;1,45;2,1;2,83;1,45;1,72
combinación;;1,4;1,6;1,97;1,4;1,47
comedia;;1,13;1;4,43;1,07;1,07
comedor;;1,27;1,17;2,73;1,1;1,33
comentario;;2,13;2;2,47;2,1;1,8
comenzar;;1,73;2,37;3,1;1,2;1,23
comer;;1,2;1,23;3,73;1,17;1,33
comercio;;1,37;1,53;2,13;1,4;1,3
cometa;;1,3;1,47;3,43;1,1;1,03
comida;;1,2;1,2;3,23;1,13;1,4
comodidad;;1,23;1,13;4,1;1,03;1,17
compadecer;;3,4;1,8;1,5;1,8;1,43
compañero;;1,7;1,4;4;1,43;1,17
compañía;;1,37;1,67;3,93;1,17;1,37
compartir;;1,17;1,43;4,23;1,2;1,23
compasión;;2,8;1,23;1,97;1,57;1,2
compasivo;;2;1,47;3,33;1,3;1,13
competente;;1,23;1,74;3,71;1,39;1,35
competitivo;;1,9;2,07;2,27;2,3;1,67
complacer;;1,27;1,4;3,6;1,3;1,27
complacido;;1,13;1,3;3,83;1,17;1,2
complejo;;2,57;2,63;1,43;2,2;2,17
complicación;;2,93;3,43;1,57;2,83;1,87
compositor;;1,37;1,23;3,27;1,27;1,2
compositora;;1,27;1,33;3,3;1,27;1,07
comprensión;;1,77;1,7;3,83;1,17;1,1
comprometido;;1,33;1,93;2,73;1,27;1,1
compromiso;;1,7;2,57;2,73;1,53;1,43
comunicación;;1,2;1,63;3,5;1,2;1,17
comunicativo;;1,13;1,3;3,4;1,17;1,07
comunidad;;1,17;1,47;2,37;1,23;1,1
concentrado;;1,37;1,4;2,1;1,4;1,27
concesionario;;1,37;1,53;2,23;1,33;1,37
conciencia;;2,17;2,03;3;1,87;1,73
concurso;;1,43;2,63;3,6;1,53;1,2
conde;;1,5;1,5;1,47;1,93;2,07
condenado;;3,03;2,93;1,27;2,37;1,67
condena;;3,8;3,6;1,17;3,1;2,2
condesa;;1,57;1,32;1,64;1,89;1,86
condición;;2,1;2,47;1,47;1,9;1,8
condón;;1,27;2,3;2,67;1,27;1,87
conducto;;1,48;2,07;1,79;1,48;1,86
conductor;;1,1;1,67;2,5;1,37;1,13
conejito;;1,23;1,13;3,47;1,07;1,03
conejo;;1,1;1,3;3,53;1,1;1,3
conferencia;;1,3;1,53;2,03;1,33;1,47
confianza;;1,2;1,63;4,23;1,27;1,33
confidente;;1,2;1,77;3;1,17;1,2
conflicto;;3,57;3,57;1,17;4;2,33
confort;;1,1;1,13;4,43;1,1;1,03
confundido;;2,37;2,43;1,17;1,73;1,2
confuso;;2,6;2,43;1,17;2,3;1,6
congelado;;1,83;2,17;1,33;1,23;1,5
conjunto;;1,3;1,47;2,47;1,2;1,07
conjuro;;1,45;2,14;1,79;1,86;1,62
conocer;;1,3;2,07;3,37;1,07;1,3
conocimiento;;1,4;1,63;3,5;1,13;1,03
conquista;;1,8;2,13;2,63;1,67;1,7
consciente;;1,59;1,93;2,76;1,34;1,38
conseguir;;1;1,6;4,3;1,07;1,03
consejo;;1,63;2,37;3,37;1,47;1,37
conserje;;1,53;1,3;1,5;1,27;1,27
conservar;;1,31;1,21;2,41;1,34;1,28
considerado;;1,2;1,37;3,57;1,2;1,07
consigna;;1,29;1,36;1,82;1,25;1,21
consolado;;2,07;1,28;2,48;1,31;1,14
consolador;;1,2;1,03;2,8;1,03;1,27
conspiración;;2,43;3,37;1,53;3,07;2,2
contable;;1,3;1,2;1,47;1,63;1,5
contaminación;;3,17;2,77;1,1;2,77;3,6
contaminar;;3,77;3,43;1,13;3,73;3,9
contenedor;;1,43;1,3;1,33;1,27;3,5
contenido;;1,27;1,3;1,53;1,27;1,2
contentar;;1,1;1,1;3,86;1,17;1,14
contento;;1,19;1,19;4,52;1,13;1,16
contexto;;1,33;1,67;1,47;1,27;1,27
contrariedad;;2,1;2,37;1,63;2,23;1,7
contrario;;1,53;2;1,33;1,93;1,53
contrincante;;1,7;2,47;1,67;2,6;1,7
convencido;;1,47;1,43;2,9;1,23;1,17
convivir;;1,13;1,77;3,7;1,37;1,3
cooperar;;1,2;1,4;3,93;1,27;1,27
coordinación;;1,13;1,77;3,2;1,23;1,13
copa;;1,4;1,37;3,1;1,3;1,23
coquetear;;1,17;1,7;3,57;1,17;1,23
coqueto;;1,4;1,3;3,07;1,43;1,43
coral;;1,3;1,27;2,97;1,17;1,13
corazón;;1,73;1,57;3,43;1,4;1,37
corbata;;1,13;1,13;1,87;1,23;1,17
corcho;;1,1;1,14;1,55;1,07;1,17
cordero;;1,25;1,14;2,11;1,04;1,21
corona;;1,33;1,4;2,2;1,7;1,8
corrección;;1,7;1,97;2,07;1,97;1,77
corredor;;1,43;1,47;2,13;1,23;1,27
corredora;;1,03;1,23;2,57;1,23;1
correo;;1,3;1,33;2,33;1,23;1,07
correr;;1,43;2,13;3,38;2;1,37
corromper;;2,76;2,59;1,1;3,55;2,93
corrupto;;3,43;2,33;1;4,37;4,1
corte;;1,6;2,47;1,03;1,63;2,37
cortesía;;1,07;1,31;3,21;1,17;1,31
corteza;;1,23;1,2;1,27;1,03;1,27
cortina;;1;1,07;1,31;1;1,03
cosa;;1,4;1,7;1,83;1,43;1,67
costa;;1,37;1,73;4,33;1,13;1,1
costo;;1,53;1,7;1,4;1,5;1,43
costumbre;;2,1;1,7;2,73;1,53;1,8
cotilleo;;1,63;1,63;1,97;1,97;2,07
cotorra;;1,17;1,24;1,66;1,66;1,55
código;;1,4;1,67;1,5;1,53;1,23
cólera;;2,57;2,5;1;3,97;2,2
cómico;;1,03;1,1;4,2;1;1,03
cómodo;;1,13;1,07;3,73;1,1;1,1
cráneo;;1,3;1,43;1,5;1,13;1,67
creación;;1,23;1,8;3,2;1,2;1,1
creatividad;;1,53;1,6;4,4;1,43;1,17
creativo;;1,55;1,68;4,03;1,61;1,29
crecer;;1,8;2,2;3,83;1,1;1,03
crecimiento;;1,69;1,97;3,66;1,21;1,14
creencia;;2,1;2,33;2,43;1,8;1,83
creído;;2,19;1,87;1,42;3,06;3,03
crepe;;1,08;1,08;3,31;1,15;1,31
crepúsculo;;1,7;1,53;2,4;1,13;1,1
crédulo;;1,77;1,65;1,73;1,77;1,46
criado;;2,33;1,07;1,27;1,37;1,13
criatura;;1,5;2,2;2,67;1,3;1,67
crimen;;3,53;3,77;1,03;3,63;2,73
criminal;;2,53;3,57;1,07;3,33;2,83
crisis;;3,97;3,9;1,07;3,8;2,77
cristal;;1,2;1,63;1,47;1,13;1,1
criterio;;1,27;1,7;1,73;1,4;1,17
crucero;;1,03;2,3;3,97;1;1,07
crucificar;;3,43;3,53;1,1;3,57;2,97
crucifijo;;1,83;2,03;1,5;1,57;1,5
crucifixión;;3;3,22;1,22;2,48;3,07
cruel;;3,5;3,37;1,07;3,73;3,23
crueldad;;4,37;3,67;1;4,5;3,6
cruz;;1,83;1,43;1,23;1,2;1,33
cuaderno;;1,67;1,47;2,4;1,53;1,27
cuadrada;;1,25;1,18;1,18;1,11;1,11
cuadrado;;1;1;1,1;1;1
cuadro;;1,73;1,43;2,87;1,5;1,33
cuarto;;1,43;1,47;2,17;1,17;1,23
cubo;;1,17;1,2;1,63;1,13;1,33
cucaracha;;1,33;2,6;1,13;1,77;4,2
cuchara;;1,13;1,03;1,47;1,03;1,43
cuchillo;;1,73;3,27;1,3;2,07;1,27
cuenco;;1,17;1,13;1,3;1,1;1,13
cuento;;2;1,77;3,83;1,13;1,1
cuerda;;1,4;1,47;1,5;1,33;1,23
cuerpo;;1,4;1,37;2,3;1,23;1,23
cuervo;;2,23;2,17;1,73;1,57;1,63
cuestión;;1,27;1,6;1,37;1,2;1
cueva;;1,6;3,07;1,53;1,27;1,6
cuidar;;1,57;1,73;3,43;1,1;1,17
culebra;;1,33;3,83;1,3;1,83;3,33
culpa;;3,4;2,73;1,07;2,67;1,8
culpabilidad;;3,63;2,67;1;2,43;1,77
culpable;;3,53;2,7;1,1;3,4;2,43
culto;;1,17;1,27;3;1,07;1,1
cumpleaños;;1,73;1,7;3,97;1,17;1,23
cura;;1,8;1,8;2,5;1,77;1,93
curación;;1,9;1,93;3,7;1,33;1,47
curandera;;1,45;2,1;2,45;1,45;1,66
curandero;;1,43;2,2;2,43;1,47;1,67
curar;;1,37;1,77;3,93;1,2;1,53
curioso;;1,1;1,5;2,47;1,17;1,1
curso;;1,5;2,23;2,83;1,3;1,33
daga;;1,93;3;1,32;2,11;1,32
dama;;1,17;1,03;2,33;1,2;1,1
danza;;1,55;1,42;4,32;1,35;1,13
dañar;;3,57;3,53;1,03;3,8;2,7
dañino;;3,7;3,83;1;3,2;2,2
daño;;3,9;3,73;1,03;3,6;2,63
dar;;1,65;1,74;3,58;1,35;1,39
dardo;;1,17;2,03;1,83;1,6;1,13
decadencia;;3,8;2,17;1,3;2,13;2,13
decapitar;;4,07;4,43;1;4,1;3,97
decepcionar;;4,33;3,37;1;3,53;2,9
decidir;;1,87;2,8;2,8;1,53;1,47
declive;;3,04;2,86;1;2,18;1,54
decorador;;1,03;1;2,2;1;1
decorar;;1,07;1,13;4;1,17;1
decoro;;1,26;1,26;2,48;1,26;1,26
dedicado;;1,23;1,27;2,67;1,03;1,13
dedo;;1,13;1,1;1,4;1,13;1,17
defecto;;3,2;2,4;1,2;2,5;2,1
defender;;1,63;2,83;2,63;2,5;1,4
defendido;;1,37;1,47;2,4;1,53;1,17
deforme;;3,33;2,47;1,23;1,73;2,5
degeneración;;2,9;2,87;1,23;2,47;2,43
degollar;;3,83;4,52;1,03;3,79;4
degradación;;3,43;2,9;1,17;3,03;2,67
delantal;;1,2;1,13;2,03;1;1,27
deleite;;1,13;1,23;3,8;1,17;1,17
delfín;;1,27;1,5;3,9;1,07;1,2
delgado;;1,7;1,6;2,73;1,3;1,7
delicadeza;;1,63;1,8;2,77;1,2;1,27
delicado;;2;2,47;2,23;1,4;1,23
delicioso;;1,07;1,03;4,27;1,07;1,03
delincuencia;;3,2;3,6;1,07;3,33;2,87
delincuente;;2,33;3,4;1;3,03;1,8
delirio;;2,37;3,1;1,3;1,8;1,37
demencia;;4,03;3,37;1,1;2,13;1,3
demente;;3,13;2,67;1,17;1,73;1,37
democracia;;1,6;1,7;3,2;1,7;1,53
demonio;;2,1;3,5;1,13;2,73;2,53
denigrar;;3,37;2,53;1,1;3,5;3,2
denominar;;1,18;1,14;1,25;1,21;1,14
dentista;;1,37;2,9;1,17;1,5;1,9
dependienta;;1,2;1,3;1,8;1,27;1,2
deportes;;1,13;1,2;3,2;1,4;1
deportista;;1,23;1,43;3,4;1,47;1,3
depresión;;4,6;3,27;1,03;1,77;1,27
deprimido;;4,53;3,07;1,13;2,07;1,63
derecha;;1,43;1,3;1,4;1,5;1,43
derruir;;3,67;3,04;1,19;3,07;1,63
derrumbar;;3,57;3,23;1,3;2,77;1,73
desafiar;;1,87;2,53;1,53;2,3;1,5
desafío;;1,4;3,07;2,7;1,97;1,07
desagradable;;2,8;2,63;1;2,63;4,3
desagrado;;2,63;1,93;1;2,6;3,3
desagÃ¼e;;1,23;1,23;1,1;1,27;3,8
desahogo;;2,38;2,03;2,93;1,83;1,55
desahuciado;;4,4;3,73;1;3,87;2,5
desahuciar;;4,63;3,73;1;4,13;2,97
desahucio;;4,5;4,17;1;4,27;3,23
desamor;;4,67;3,47;1,23;3,3;2,13
desangrar;;3,86;4,28;1,07;3,03;3,38
desanimado;;3,9;2;1,03;1,77;1,23
desaparecer;;3,47;3,63;1,73;2,47;1,73
desaparición;;4,17;4,03;1,1;2,77;1,87
desastre;;3,27;3,07;1,03;2,17;1,33
desatascador;;1,23;1,27;1,4;1,33;3,23
desánimo;;3,97;2,63;1,03;2,23;1,8
descansar;;1,17;1,13;4,1;1,1;1,03
descanso;;1,2;1,07;4,17;1,07;1,03
descenso;;2,67;2,77;1,77;2,3;1,5
descomposición;;1,83;2,03;1,1;1,47;3,87
desconfianza;;3,07;2,83;1,03;2,53;2,17
desconsiderado;;2,87;1,6;1;3,3;2,43
desconsuelo;;3,87;2,73;1,23;2,43;1,83
descontento;;3,5;2,17;1;2,43;1,93
desdeñoso;;2,23;1,42;1,31;2,15;2,19
desdén;;2,18;1,68;1;2,14;1,73
desear;;1,6;1,9;3,87;1,3;1,23
desenfadado;;1,03;1,1;2,52;1,28;1
desenroscar;;1,07;1,17;1,41;1,1;1,1
desenterrar;;2,9;3,3;1,83;1,97;2,8
deseo;;1,47;1,9;4,3;1,1;1
desertor;;2,04;2,08;1,08;2,24;1,8
desesperado;;3,27;2,83;1;2,7;1,33
desfavorable;;3,63;3,2;1,2;2,83;2
desgaste;;2,33;1,77;1,27;1,6;1,23
desierto;;2,4;2,73;2,17;1,37;1,37
desigualdad;;4;2,77;1,07;3,8;3,57
desleal;;3,3;2,5;1,03;3,57;2,53
deslumbramiento;;1,3;1,97;1,73;1,6;1,1
desmayo;;2,67;3,6;1,03;1,53;1,5
desnudo;;1,03;1,5;2,3;1,03;1,37
desobedecer;;2,07;2,2;1,5;2,9;1,67
desolación;;3,77;2,93;1,1;2,2;1,63
desollar;;3,14;3,45;1,07;2,86;3,62
desorden;;2;1,5;1,47;2,77;3,07
desordenado;;1,83;1,23;1,07;2,13;2,27
despachar;;1,79;1,55;1,69;1,79;1,17
despacho;;1,43;1,8;1,73;1,2;1,4
despedazar;;2,28;3,17;1,07;2,55;3,17
despejado;;1,2;1,13;3,23;1,1;1,07
desperdicio;;2,8;1,6;1,03;2,47;2,8
despierto;;1,28;1,14;2,93;1,31;1,14
despilfarro;;2,46;2,39;2,61;2,25;2,07
despistado;;1,97;1,63;1,4;2;1,37
despreciar;;3,07;2,1;1,03;3,3;2,93
desprecio;;3,13;2,37;1;3,3;3,17
despreocupado;;1,37;1,37;2,27;1,83;1,2
destacar;;1,47;2,07;2,73;1,43;1,23
desterrar;;3,47;2,9;1,1;3,03;1,7
destino;;1,9;2,83;2,7;1,47;1,27
destornillador;;1,17;1,43;1,33;1,3;1,2
destreza;;1,33;1,3;3,23;1,33;1,1
destrozar;;3,57;3,27;1,27;4,23;2,47
destrucción;;3,93;3,57;1,07;3,43;1,83
destruir;;3,77;3,63;1,07;3,7;2,53
desván;;1,73;2,47;1,87;1,17;1,7
desventaja;;2,6;2,37;1,17;2,77;1,27
desvestido;;1,24;1,31;2,34;1,17;1,45
desviación;;1,59;1,72;1,66;1,72;1,69
detalle;;1,27;1,3;3,13;1,1;1,07
detergente;;1,17;1,3;1,6;1,07;1,47
deterioro;;3,37;2,73;1,07;2;2,27
detestar;;2,1;1,7;1,13;2,83;2,33
deuda;;2,73;2,67;1;2,6;1,8
devastar;;4,37;3,93;1,03;3,7;2,4
devoto;;1,6;1,68;1,4;1,52;1,52
débil;;3,1;2,47;1,07;2,07;1,37
década;;1,5;1,67;1,67;1,17;1,2
diabetes;;2,7;3,1;1,17;1,57;1,3
diablo;;1,57;2,83;1,17;2,43;1,8
diadema;;1,13;1;2,1;1;1
diamante;;1,07;1,07;3,43;1,07;1,1
diario;;2,1;1,53;2,67;1,5;1,4
diccionario;;1,17;1,17;1,5;1,3;1,47
dicha;;1,1;1,3;3,57;1,27;1,1
dichoso;;1,3;1,3;3,8;1,3;1,13
dictador;;3,03;3,37;1,03;4,1;3,9
dictadura;;3,77;4,07;1,03;3,77;3,37
diente;;1,23;1,6;1,6;1,23;1,77
dieta;;1,7;1,6;1,57;1,67;1,5
difamar;;2,68;2,39;1,14;4,11;2,93
diferencia;;1,8;1,93;1,77;1,33;1,43
dificultad;;2,37;3,3;1,67;2,53;1,57
dificultar;;2,47;2,73;1,2;2,6;1,8
difunto;;4,47;3,4;1;2,4;1,8
difusión;;1,57;1,73;1,57;1,57;1,47
dignidad;;1,73;1,77;3,17;1,73;1,5
digno;;1,11;1,29;3,5;1,11;1,04
diminuto;;1,57;1,67;1,47;1,23;1,1
dinámica;;1,03;1,2;2,67;1,07;1,07
dinámico;;1,07;1,33;3,17;1,13;1,17
dinero;;2,17;2,07;3,73;2,07;2,1
dios;;1,5;1,63;2;1,43;1,73
diosa;;1,27;1,6;3,03;1,43;1,33
diploma;;1,3;1,47;3,63;1,17;1,13
diputada;;1,7;1,37;1,2;2,97;2,4
director;;1,37;1,97;1,53;1,77;1,7
directora;;1,03;1,97;2,23;1,77;1,27
disco;;1,7;1,07;3,93;1;1,03
discreto;;1,23;1,4;1,67;1,1;1,1
discusión;;2,83;2,24;1,28;3,38;1,76
diseñador;;1,2;1,03;2,3;1,13;1,13
diseñadora;;1,1;1,3;3,13;1,13;1,07
diseño;;1,4;1,33;2,43;1,3;1,3
disertación;;1,83;2,33;1,5;1,83;2
disfrutar;;1,03;1,1;4,97;1;1,03
disgustado;;3,6;2,1;1,13;2,5;1,77
disgusto;;4,13;3,2;1;3,27;2,27
disminución;;2,33;2,17;1,47;2;1,67
disminuido;;2,87;1,8;1,47;1,37;1,1
disparar;;3,41;4,38;1,1;4,24;2,79
disparate;;1,57;1,57;2,37;1,97;1,27
dispuesto;;1,35;1,55;3,19;1,32;1,39
disputa;;3,17;2,53;1,53;3,8;2,07
distancia;;3,93;3,03;1,6;1,83;1,83
distante;;3,53;2,67;1,1;1,93;1,4
distorsión;;2;2,55;1,31;1,97;1,83
distraído;;1,47;1,37;1,4;1,53;1,13
distrito;;1,33;1,53;1,63;1,3;1,3
disturbio;;1,93;2,6;1,5;2,37;1,5
diversión;;1,07;1,27;4,53;1,17;1,03
divertido;;1,03;1,14;4,69;1;1
divertir;;1,07;1,2;4,41;1,07;1,07
divinidad;;1,73;2,1;2,47;2,03;1,73
división;;2,3;1,97;1,43;1,7;1,57
divorciado;;3,43;1,4;1,17;1,57;1,3
divorcio;;4;3,4;1,37;2,9;1,77
doctor;;1,7;2,07;1,93;1,37;1,23
doctora;;1,33;2,27;2,23;1,2;1,1
documento;;1,33;1,27;1,63;1,17;1,17
dolencia;;3,61;2,86;1;2,18;1,71
dolor;;3,83;3,63;1,03;2,77;1,77
doméstico;;1,43;1,2;2,33;1,17;1,17
donar;;1,47;1,6;4,43;1,07;1,17
dorada;;1,2;1,2;2,73;1,23;1,2
dormilón;;1,37;1,13;2,1;1,13;1,07
dormir;;1,37;1,13;3,4;1,03;1,03
dormitorio;;1,53;1,63;3,3;1,27;1,07
dólar;;1,63;1,37;2,73;1,43;1,43
dramatismo;;3,17;2;1,34;2,17;1,66
drogadicta;;3,53;2,67;1,03;2,13;2,37
drogadicto;;4,03;3,1;1,07;2,07;2,37
dromedario;;1,1;1,63;2,4;1,1;1,4
ducha;;1,07;1,03;3,6;1,03;1,03
duda;;2,57;3,5;1,27;2,5;1,47
dudar;;2,77;3,27;1,33;2,13;1,6
duelo;;2,2;2,9;1,6;2,57;1,7
duplicar;;1,1;1,31;1,83;1,24;1,07
dureza;;2,1;2,13;1,4;1,93;1,33
duro;;1,67;1,83;1,37;1,97;1,4
echar;;2,21;1,97;1,21;2;1,69
ecologista;;1,53;1,17;3,57;1,2;1,07
edición;;1,13;1,3;1,7;1,1;1,07
edificio;;1,27;1,23;1,53;1,13;1,1
editora;;1,3;1,53;2,63;1,33;1,2
educación;;1,4;1,53;3,67;1,77;1,23
educador;;1,37;1,33;2,67;1,4;1,33
educadora;;1,2;1,3;2,93;1,4;1,2
efectividad;;1,13;1,33;3,47;1,07;1
efectivo;;1,23;1,43;3,07;1,17;1,03
efecto;;1,6;1,8;2,2;1,5;1,27
egoísmo;;3,27;2,3;1,13;3,27;3,23
egoísta;;2,97;1,93;1,17;3,47;2,9
ejecución;;3,67;3,93;1,27;3,3;2,83
ejecutar;;2,47;2,6;1,77;2,23;2,1
ejecutivo;;1,4;1,47;1,7;1,5;1,43
ejemplar;;1,07;1,1;1,87;1,13;1,03
ejemplo;;1,27;1,33;1,8;1,33;1,2
ejercicio;;1,23;1,23;3,37;1,4;1,07
ejército;;2,4;3,1;1,43;2,23;1,7
electricidad;;1,33;2,1;2,3;1,67;1,37
electrocutar;;3,14;4,38;1,03;3,1;2,21
electrodoméstico;;1,03;1,17;1,33;1,33;1,17
elefante;;1,53;1,6;2,83;1,37;1,1
elegante;;1,17;1,2;3,37;1,33;1,2
elegir;;1,57;2,5;2,9;1,3;1,3
elemento;;1,37;1,53;1,53;1,37;1,4
elevado;;1,23;2,33;1,97;1,43;1,17
eliminación;;2,87;2,6;1,37;2,27;1,3
elíptico;;1,17;1,28;1,76;1,21;1,14
elogio;;1,23;1,47;3,93;1,4;1,4
embajada;;1,33;1,53;1,73;1,3;1,4
embalar;;1,52;1,31;1,52;1,24;1,17
embarazada;;1,47;2,3;3,8;1,07;1,03
embarazo;;1,4;2,8;3,67;1,17;1,3
embargo;;4,2;3,73;1,07;3,67;2,47
embestir;;2,07;3,43;1,13;3,1;1,6
embolia;;3,96;3,96;1;2,58;1,69
emoción;;2,97;2,83;3,77;2,67;2,5
empaquetar;;1,66;1,24;1,66;1,21;1
empatar;;2,1;1,48;1,9;1,86;1,55
emperador;;1,7;2;1,27;2,03;1,9
